,Username,Date,Score,Review,Deviation from the Mean
65,LinusMxx,2021/05/26,3.5,"B  Some of the humor gets lost in translation, but overall, this absurdist Brazilian comedy was still pretty funny. Idk but the comedy reminded me a lot of Monty Python. Now, I've only seen Holy Grail but I had more fun with this film and I thought it was a lot better than what Monty Python had to offer lol.",-0.25
66,Balder,2020/01/06,1.0,"Awful, just god damn terrible. I know why this anomaly is rated so highly on the Letterboxd Top 250 Movies, and that is because there are only Brazilians who have watched it, and they inflate the score by giving it 5's when it should be getting 1's. This is such a boring and dumb film, but the worst part of it all is just how unfunny it is. Humor is not the easiest thing to translate across countries, but I…",-2.75
68,Gabriel Soares,2024/05/25,5.0,"Com 22 anos nas costas, estava deixando de apreciar essa jóia do cinema brasileiro. Antes tarde do que nunca, um clássico que marcou gerações. Hilário, comovente e divertido 💗",1.25
69,Lᥱvყ,2024/01/27,5.0,"""A cachorra cumpriu sua sentença. Encontrou-se com o único mal irremediável, aquilo que é a marca de nosso estranho destino sobre a terra, aquele fato sem explicação, que iguala tudo o que é vivo num só rebanho de condenados. Porque tudoo que é vivo morre.""  Fernanda Montenegro simplesmente um orgulho para o cinema brasileiro!",1.25
70,Corwyn 🇵🇸,2022/06/20,3.5,"I don't know, but so it was.  So this movie has just managed to push its way onto the #5 spot of highest rated movies on here. A movie which, but for the Letterboxd Top 250 itself, probably wouldn't be known to most people outside of Brazil, whose population seems to be exclusively responsible for its staggering position on here.   Despite its ranking, I actually went in with very low expectations, and saw this more as a matter of checking…",-0.25
71,pipeaks,2021/10/28,4.0,"8.1/10 i understand why non-brazillians hate this movie, most of the comedy here is in the ways that the characters speak and how they use slang, so is really understandable me, as a brazillian, can appreciate this movie, it is fun and has some really clever jokes i don't think is the best brazillian movie, is not even close to be, but is a good movie to watch on some boring days the characters are really good too - eu…",0.25
72,clarice🍷,2024/05/03,5.0,"""I love you"" Quer dizer morena em francês   Esse filme aqui tá marcado na vivência de muitos brasileiros, eu amava assistir quando passava na sessão da tarde",1.25
73,trix,2023/07/02,5.0,imagina ser gringo e não entender a genialidade desse filme,1.25
74,Ollie,2021/07/17,0.5,"4.5 average rating. 8th on Letterboxd’s Top 250 Narrative Features. That is a travesty. A Dog’s Will is beyond amateurish and might very well be the worst film I’ve ever seen. It genuinely feels like a parody shot on a £10 budget; the production values are non existent, the acting is crap at best, and it’s painfully stupid and unfunny. Shame on the Brazilian bots who tricked me into watching an hour of this utter horse shit.",-3.25
75,sangui,2024/05/25,5.0,“- I love you quer dizer morena em francês.”  vaisifudeeee esse filme é bom dms,1.25
76,vitor,2024/05/24,4.5,"INVENTOU o carisma cara que roteiro hábil e divertido que elenco apaixonanteee que timing cômico genial e que química perfeita dos atores em cena. um filme pra te deixar com um sorriso no rosto quase que o tempo todo acompanhando esses personagens maravilhosos. joão grilo, chicó e a compadecida QUERIDÍSSIMOSSS",0.75
77,filmmovielovers,2022/06/24,1.0,Being No.4 on Letterboxd’s Top 250 is something remarkable. The film must surely be one of the greatest of all time right?! Well let me tell you it’s not.   This felt like a C Movie made for some extremely casual watching on a sweaty Sunday afternoon in Brazil. It wasn’t even interesting or “funny” just extremely average.   I don’t like to really use the term “overrated” but I think considering this is No.4 on Letterboxd it sure is overrated.   I’m…,-2.75
79,Ruth,2024/05/09,5.0,"um marco do cinema brasileiro né, ansiosa pro segundo!",1.25
80,André Lucena,2024/03/16,4.5,"“Jesus às vezes se disfarça de mendigo pra testar a bondade dos homens”.  O Auto da Compadecida (2000) é um filme baseado na peça teatral homônima de Ariano Suassuna. A obra é uma sátira que mistura elementos da cultura nordestina com críticas sociais e religiosas, apresentando uma visão cômica da vida no sertão.  A história gira em torno das aventuras de João Grilo (Matheus Nachtergaele) e Chicó (Selton Mello), dois amigos pobres que buscam sobreviver às dificuldades da vida em…",0.75
81,nora,2022/07/21,4.0,"BANGER!!! made me feel the way monty python makes everyone else feel. i love a film that's purely wacky especially when the main duo is a witty serial liar and a foolish silly coward (it's giving WHAT'S UP DOC, it's giving BRINGING UP BABY, it's giving THE LADY EVE).",0.25
82,Thauanny Lima,2021/02/02,5.0,"Nota: 10/10  Inicialmente, os autos eram encenados em templos religiosos, depois nas portas de entrada das igrejas e pátios. Posteriormente, as apresentações passaram a acontecer em feiras, mercados e praças públicas, quando se torna um gênero dramático de feição popular. Foi nessa época também que, ao sair das igrejas, os autos passaram também a tratar de assuntos profanos. Não que havia autos religiosos e autos profanos, separadamente. O que ocorria era a coexistência dos dois elementos dentro da mesma peça.…",1.25
83,brenda ✧.*,2024/05/08,5.0,eu quero um bichinho maior que minha solidão é muito grande  nós mulheres meio dora mãe de pet e cheia de amor pra dar 🤗,1.25
84,Lyncoln,2023/11/15,5.0,"- Fui longo dizendo I LOVE YOU, e ela foi logo se derretendo.  - I Love You?  - Quer dizer morena em francês 🤣  Simplesmente uma obra prima do cinema brasileiro, simplesmente mágico e perfeito em todos os quesitos. O Auto da Compadecida é um filme místico e um marco na cultura brasileira, um filme que simplesmente da uma aula de carisma e construção carismática de personagens, simplesmente perfeito. O auto da compadecida conta a história de dois sujeitos que…",1.25
85,guille,2021/04/08,2.0,"Sometimes my sick completionism leads me to the darkest of roads...  The fact that this sits 8th in all-time average rating above the likes of Ikiru, 2001, and There Will Be Blood has to be the most outrageous (and hilarious) case of collusion in letterboxd, props to the Brazilian community for such an admirable effort.",-1.75
86,movienostalgia,2020/01/13,2.0,"32  Dreadfully unfunny, full with terrible acting, dog abuse and off-brand Zucker Brothers humor, this film fails on all fronts. I don’t care if Brazil cherishes it; it shouldn’t be in Letterboxd’s top 10 films ever. Without even looking at a list of Brazilian films, I can already say that both Black Orpheus and City of God are vastly superior.",-1.75
87,Ana Lê,2020/01/08,5.0,"""Não sei, só sei que foi assim!""  Eu assisti ontem o primeiro episódio na Globo, não consegui esperar os outros e tive que ver o filme, porque isso é uma OBRA PRIMA!! Mas se vocês não forem ansiosos, ao contrário de mim, recomendo assistir na Globo mesmo porque a imagem está bem melhor...  Acabei agora e estou morrendo de vontade de assistir de novo de tanto que esse filme me faz bem e de tantas risadas que ele me tira.…",1.25
88,lelefurtada,2023/09/03,5.0,é que eu estava precisando d uma dose de seratonina no meu sangue,1.25
89,Mathias Larsen,2023/06/15,2.5,Lost in translation or insanely overrated? No idea what’s so great about this tbh..,-1.25
90,Ivan,2020/11/18,4.0,"Everybody fears death, but that doesn't make them righteous.  First and foremost, I need to point out that I identify some of the contexts and themes of the film but, I don't understand some of them. I understand that we all have different contexts with regard to comedies so, if some of us will not laugh at their comedy then, there are no reasons to hate or to disregard the film. Currently seated #9 in the Letterboxd Official Top 250…",0.25
91,Catus,2020/09/05,3.5,"This movie doesn’t give you a break. It’s frenzy, loud, absurd and crazy as hell. The plot doesn’t even go anywhere until half way through the film; before that, it’s mostly just the two protagonists messing around and doing weird shit (in that sense, you can tell this was based on a play).  To be honest, I was quite overwhelmed by this movie. You know I’m usually not a fan of over stylization, not because it’s necessarily a bad thing;…",-0.25
92,Rob J,2020/07/30,3.5,"Letterboxd's most divisive movie. The popularity of A DOG'S WILL among Brazilian users lifted the film into the Top 10 Narrative Features, which led to a backlash of non-Brazilian users condescendingly accusing Brazilian users of being biased, which led to an apparent Brazilian vote brigading campaign in retaliation. Both sides keep insisting that A DOG'S WILL is a ""cultural thing"" and that you have to be Brazilian to really get it.  In my view, people are taking this whole affair…",-0.25
93,Robert Crow,2020/04/13,1.5,"This is a thoroughly terrible film in every way I can imagine.  Two grifters run around a Brazilian town borrowing from Peter so they can give to Paul, until finally their luck catches up with them and a bandit kills everyone. Then Jesus, Satan, and Mary judge everyone who died. Cue pure Brazilian farcical insanity.  This was a flaming pile of dog shit, and how it is ranked in the top 10 films of all time is so far beyond…",-2.25
94,Saad_ali08,2021/06/30,2.0,"A Dogs Will is catastrophically overrated. It has no right to even dream of being on the top 250 let alone the top ten. The film poorly executes its themes with shameful set design and performances, and in my eyes is an utter disappointment.",-1.75
95,Violet,2019/04/26,4.5,"João and Chicó honestly deserve to be called one of the most charming duos in cinema. This film is so fun, it has a wonderful sense of comedy that pokes fun of the church while having great themes of sympathy and the fear of death. So glad I decided to watch it, it had me in joy the entire time. I can't wait to explore more Brazilian cinema",0.75
96,bruna martins,2024/05/07,5.0,chicó e rosinha  died in 2000  deniziane e matteus born in 2024  welcome back casal do bbb 24,1.25
97,marcella,2023/07/08,5.0,"“consigo comer não, joão. é tanto amor que chega me dar uma gastura aqui dentro”  quem me conhece sabe que pra eu avaliar um filme com 5 estrelas ele tem que mudar a minha vida e eu tava adiando pra assistir esse aqui com medo de não gostar tanto e acabar dando uma nota mais baixa. eu nunca estive tão feliz de estar errada. a dinâmica do joão grilo com o chicó é incrível e os diálogos são perfeitos. eu amei…",1.25
98,DrStrange110,2022/06/05,2.0,4.5??? Are you fucking kidding me?!,-1.75
99,barbiest,2021/11/04,5.0,dizer que esse filme é perfeito é pouco,1.25
100,Mohammed 🕸,2020/07/08,3.0,بدأ ك طاش مطاش النسخة البرازيليه و انتهى بتوم جيري الحلقه الممحذوفه,-0.75
101,Gustavo Menezes,2018/01/01,5.0,"Revisto pela 1000000000ª vez.   Acho fenomenal como esse filme expande a peça original de Suassuna, incrementada com O Santo e a Porca, sem perder o fôlego e sem barrigas de roteiro. Não se sente o tempo passar em momento algum. Também é incrível como TODOS os atores estão bem, e desenvolvem maneirismos próprios muito bem concebidos.",1.25
102,Aravind S Kannoth,2023/02/02,3.5,Comedy movie that only Brazilians could understand and enjoy fully.  The third act of the film is something out of the normal cinema narrating methodologies.... . Purely experimental. It's so true that two friends having extremely opposite characters can make a great bond than like minded people.,-0.25
103,Agatha Fernandes,2023/01/14,5.0,"Okay. Let's talk.  Obviously there are going to be cultural barriers when we're talking about a movie like this. A film so rooted and fine-tuned to Brazilian culture and humor is bound to put some people off and, honestly, that's okay. Maybe the jokes got a bit too lost in translation for you. Maybe their mannerisms felt weird to you. Maybe you didn't vibe with all the Catholic undertones, it being so formative to a lot of our culture (I'm…",1.25
104,maya |樂-STAR ★,2024/04/20,4.5,deve ser triste não ser brasileiro e não ter a capacidade de entender o quão maravilhoso é esse filme,0.75
105,CrisRosas👻,2023/09/16,5.0,O Auto Da Compadecida (2000) [eng. A Dog’s Will] The Best Of The Best (On Plain Sight) Good grief! I Found Something Good Here Reviews In Both Languages (List)  * * * * * * * * * * * * * * Spanish * * * * * * * * * * * * * * “O Auto Da Compadecida” es una película a la cual le tenia muchas ganas desde hace mucho tiempo pero no podría encontrar…,1.25
106,Jack Denver,2023/06/26,4.5,"🏆 HILARIOUS | SURPSINGLY ENJOYABLE   1st Watch | 2000 Ranked | Foreign Films    It took me forever to find a place where I could watch this film for free. However, in the end I was able to find a very low-quality YouTube video showing the entire movie. Obviously, I would've preferred to watch something with a smoother quality, but at least I was able to follow the story and with English subtitles, I wasn't going to pass up the opportunity…",0.75
107,Suvranil Singha Chowdhury,2023/01/30,3.5,"A jewel of Brazilian cinema. From the story, to the acting and the screenplay. Fun, light and at the same time deep and enlightening. Impossible not to remember the lines.  There are more than 60 types of cuckolds.",-0.25
108,WillDraugelis,2000/09/10,3.0,"If these two guys teamed up with Harry and Lloyd from Dumb and Dumber, they might just form the most unstoppable group of idiots ever. On top of that they would easily form the most annoying group of individuals ever and probably come up with some pretty unique sounds as well. I really did think of these two as similar to the Dumb and Dumber duo, but they lacked the same naive innocence that those two had, specifically the character…",-0.75
109,Ted Smells,2020/07/24,1.5,8TH HIGHEST RATED MOVIE ON LETTERBOXD?! 4.5 AVERAGE RATING?!? HOW?!?!?,-2.25
